codigo,descripcion,url
A00,Cholera,https://www.cdc.gov/cholera/illness.html
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",https://www.cdc.gov/cholera/index.html
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",https://www.bu.edu/researchsupport/safety/rohp/agent-information-sheets/vibrio-cholera-pacini-o1-biovar-eltor-str-n16961-agent-information-sheet/
A00.9,"Cholera, unspecified",https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A00-/A00.9
A01,Typhoid and paratyphoid fevers,https://www.cdc.gov/typhoid-fever/symptoms.html
A01.0,Typhoid fever,https://www.cdc.gov/typhoid-fever/symptoms.html
A01.1,Paratyphoid fever A,https://www.britannica.com/science/paratyphoid-fever
A01.2,Paratyphoid fever B,https://www.cdc.gov/typhoid-fever/symptoms.html
A01.3,Paratyphoid fever C,https://patient.info/travel-and-vaccinations/typhoid-and-paratyphoid-fever-leaflet
A01.4,"Paratyphoid fever, unspecified",https://en.wikipedia.org/wiki/Paratyphoid_fever
A02,Other salmonella infections,https://www.cdc.gov/salmonella/general/index.html
A02.0,Salmonella enteritis,https://www.cdc.gov/salmonella/general/index.html
A02.1,Salmonella sepsis,https://www.verywellhealth.com/salmonella-septicemia-49029
A02.2,Localized salmonella infections,https://www.cdc.gov/salmonella/index.html
A02.8,Other specified salmonella infections,https://www.hopkinsmedicine.org/health/conditions-and-diseases/salmonella-infections
A02.9,"Salmonella infection, unspecified",https://en.wikipedia.org/wiki/Salmonellosis
A03,Shigellosis,https://www.cdc.gov/shigella/symptoms.html
A03.0,Shigellosis due to Shigella dysenteriae,https://www.cdc.gov/shigella/symptoms.html
A03.1,Shigellosis due to Shigella flexneri,https://www.cdc.gov/shigella/symptoms.html
A03.2,Shigellosis due to Shigella boydii,https://www.cdc.gov/shigella/symptoms.html
A03.3,Shigellosis due to Shigella sonnei,https://www.cdc.gov/shigella/symptoms.html
A03.8,Other shigellosis,https://www.cdc.gov/shigella/symptoms.html
A03.9,"Shigellosis, unspecified",https://www.cdc.gov/shigella/index.html
A04,Other bacterial intestinal infections,https://www.cedars-sinai.org/health-library/diseases-and-conditions/b/bacterial-gastroenteritis.html
A04.0,Enteropathogenic Escherichia coli infection,https://www.cdc.gov/ecoli/ecoli-symptoms.html
A04.1,Enterotoxigenic Escherichia coli infection,https://www.cdc.gov/ecoli/etec.html
A04.2,Enteroinvasive Escherichia coli infection,https://asm.org/Articles/2019/March/Whats-the-Significance-of-Enteroinvasive-E-coli
A04.3,Enterohaemorrhagic Escherichia coli infection,https://www.hopkinsmedicine.org/health/conditions-and-diseases/enterohemorrhagic-escherichia-coli
A04.4,Other intestinal Escherichia coli infections,https://my.clevelandclinic.org/health/diseases/16638-e-coli-infection
A04.5,Campylobacter enteritis,https://www.cdc.gov/campylobacter/symptoms.html
A04.6,Enteritis due to Yersinia enterocolitica,https://www.ncbi.nlm.nih.gov/books/NBK499837/
A04.7,Enterocolitis due to Clostridium difficile,https://www.cdc.gov/cdiff/what-is.html
A04.8,Other specified bacterial intestinal infections,https://www.healthline.com/health/gastrointestinal-infection
A04.9,"Bacterial intestinal infection, unspecified",https://www.mayoclinic.org/diseases-conditions/viral-gastroenteritis/symptoms-causes/syc-20378847
A05,"Other bacterial foodborne intoxications, not elsewhere classified",https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A05-
A05.0,Foodborne staphylococcal intoxication,https://www.cdc.gov/foodsafety/diseases/staphylococcal.html
A05.1,Botulism,https://www.cdc.gov/botulism/symptoms.html
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,https://www.cdc.gov/foodsafety/diseases/clostridium-perfringens.html
A05.3,Foodborne Vibrio parahaemolyticus intoxication,https://www.cdc.gov/vibrio/investigations/vibriop-09-13/signs-symptoms.html
A05.4,Foodborne Bacillus cereus intoxication,http://www.bccdc.ca/health-info/diseases-conditions/bacillus-cereus
A05.8,Other specified bacterial foodborne intoxications,https://dchealth.dc.gov/service/food-borne-infections-and-intoxications
A05.9,"Bacterial foodborne intoxication, unspecified",https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A05-/A05.9
A06,Amoebiasis,https://kidshealth.org/en/parents/amebiasis.html
A06.0,Acute amoebic dysentery,https://www.medicalnewstoday.com/articles/171193
A06.1,Chronic intestinal amoebiasis,https://medlineplus.gov/ency/article/000298.htm
A06.2,Amoebic nondysenteric colitis,https://www.medscape.com/answers/212029-38505/what-are-the-signs-and-symptoms-of-amebic-colitis
