codigo,descripcion,url
E44,Protein-energy malnutrition of moderate and mild degree,https://www.msdmanuals.com/professional/nutritional-disorders/undernutrition/protein-energy-undernutrition-peu
E44.0,Moderate protein-energy malnutrition,http://www.healthofchildren.com/P/Protein-Energy-Malnutrition.html
E44.1,Mild protein-energy malnutrition,https://en.wikipedia.org/wiki/Protein%E2%80%93energy_malnutrition
E45,Retarded development following protein-energy malnutrition,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E40-E46/E45-/E45
E46,Unspecified protein-energy malnutrition,https://emedicine.medscape.com/article/985140-clinical
E50,Vitamin A deficiency,https://www.webmd.com/vitamins-and-supplements/what-is-vitamin-a-deficiency
E50.0,Vitamin A deficiency with conjunctival xerosis,https://adc.bmj.com/content/103/9/890
E50.1,Vitamin A deficiency with Bitot spot and conjunctival xerosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3936686/
E50.2,Vitamin A deficiency with corneal xerosis,https://adc.bmj.com/content/103/9/890
E50.3,Vitamin A deficiency with corneal ulceration and xerosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3214675/
E50.4,Vitamin A deficiency with keratomalacia,https://www.healthline.com/health/keratomalacia
E50.5,Vitamin A deficiency with night blindness,https://www.medicalnewstoday.com/articles/324004
E50.6,Vitamin A deficiency with xerophthalmic scars of cornea,https://www.webmd.com/eye-health/what-is-xerophthalmia
E50.7,Other ocular manifestations of vitamin A deficiency,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3936686/
E50.8,Other manifestations of vitamin A deficiency,https://www.healthline.com/nutrition/vitamin-a-deficiency-symptoms
E50.9,"Vitamin A deficiency, unspecified",https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/symptoms-causes/syc-20355025
E51,Thiamine deficiency,https://www.webmd.com/vitamins-and-supplements/what-is-a-thiamine-deficiency
E51.1,Beriberi,https://medlineplus.gov/ency/article/000339.htm
E51.2,Wernicke encephalopathy,https://www.healthdirect.gov.au/wernicke-encephalopathy
E51.8,Other manifestations of thiamine deficiency,https://www.healthline.com/nutrition/thiamine-deficiency-symptoms
E51.9,"Thiamine deficiency, unspecified",https://www.msdmanuals.com/home/disorders-of-nutrition/vitamins/thiamin-deficiency
E52,Niacin deficiency [pellagra],https://www.healthline.com/health/pellagra
E53,Deficiency of other B group vitamins,https://www.healthline.com/health/symptoms-of-vitamin-b-deficiency
E53.0,Riboflavin deficiency,https://ods.od.nih.gov/factsheets/Riboflavin-HealthProfessional/
E53.1,Pyridoxine deficiency,https://emedicine.medscape.com/article/124947-clinical
E53.8,Deficiency of other specified B group vitamins,https://www.healthline.com/health/symptoms-of-vitamin-b-deficiency
E53.9,"Vitamin B deficiency, unspecified",https://www.hopkinsmedicine.org/health/conditions-and-diseases/vitamin-b12-deficiency-anemia
E54,Ascorbic acid deficiency,https://www.healthline.com/nutrition/vitamin-c-deficiency-symptoms
E55,Vitamin D deficiency,https://my.clevelandclinic.org/health/articles/15050-vitamin-d--vitamin-d-deficiency
E55.0,"Rickets, active",https://www.healthline.com/health/rickets
E55.9,"Vitamin D deficiency, unspecified",https://my.clevelandclinic.org/health/articles/15050-vitamin-d--vitamin-d-deficiency
E56,Other vitamin deficiencies,https://www.healthline.com/nutrition/vitamin-deficiency
E56.0,Deficiency of vitamin E,https://ods.od.nih.gov/factsheets/VitaminE-Consumer/
E56.1,Deficiency of vitamin K,https://www.msdmanuals.com/home/disorders-of-nutrition/vitamins/vitamin-k-deficiency
E56.8,Deficiency of other vitamins,https://www.healthline.com/nutrition/vitamin-deficiency
E56.9,"Vitamin deficiency, unspecified",https://my.clevelandclinic.org/health/articles/15050-vitamin-d--vitamin-d-deficiency
E58,Dietary calcium deficiency,https://labs.selfdecode.com/blog/calcium-deficiency/
E59,Dietary selenium deficiency,https://ro.co/health-guide/selenium-deficiency-signs/
E60,Dietary zinc deficiency,https://www.healthdirect.gov.au/zinc-deficiency
E61,Deficiency of other nutrient elements,https://crops.extension.iastate.edu/files/article/nutrientdeficiency.pdf
E61.0,Copper deficiency,https://www.mountsinai.org/health-library/supplement/copper
E61.1,Iron deficiency,https://www.nhs.uk/conditions/iron-deficiency-anaemia/
E61.2,Magnesium deficiency,https://www.healthdirect.gov.au/magnesium-deficiency
E61.3,Manganese deficiency,https://www.healthline.com/health/manganese-deficiency
E61.4,Chromium deficiency,https://www.msdmanuals.com/home/disorders-of-nutrition/minerals/chromium-deficiency
E61.5,Molybdenum deficiency,https://medlineplus.gov/genetics/condition/molybdenum-cofactor-deficiency/
E61.6,Vanadium deficiency,https://www.peacehealth.org/medical-topics/id/hn-2920002
E61.7,Deficiency of multiple nutrient elements,https://www.rush.edu/news/6-signs-nutrient-deficiency
E61.8,Deficiency of other specified nutrient elements,https://crops.extension.iastate.edu/files/article/nutrientdeficiency.pdf
E61.9,"Deficiency of nutrient element, unspecified",https://www.medicalnewstoday.com/articles/188770
E63,Other nutritional deficiencies,https://www.rush.edu/news/6-signs-nutrient-deficiency
E63.0,Essential fatty acid [EFA] deficiency,https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/essential-fatty-acid-deficiency
E63.1,Imbalance of constituents of food intake,https://symptomd.com/icd10/e63-1-imbalance-of-constituents-of-food-intake
E63.8,Other specified nutritional deficiencies,https://www.parashospitals.com/blogs/how-are-nutritional-deficiencies-treated/
E63.9,"Nutritional deficiency, unspecified",https://my.clevelandclinic.org/health/articles/15050-vitamin-d--vitamin-d-deficiency
E64,Sequelae of malnutrition and other nutritional deficiencies,https://www.medicalnewstoday.com/articles/179316
E64.0,Sequelae of protein-energy malnutrition,https://emedicine.medscape.com/article/1104623-overview
E64.1,Sequelae of vitamin A deficiency,https://www.healthline.com/nutrition/vitamin-a-deficiency-symptoms
E64.2,Sequelae of vitamin C deficiency,https://journals.lww.com/acgcr/Fulltext/2020/07000/Vitamin_C_Deficiency__An_Under_Recognized.6.aspx
E64.3,Sequelae of rickets,https://www.mayoclinic.org/diseases-conditions/rickets/symptoms-causes/syc-20351943
E64.8,Sequelae of other nutritional deficiencies,https://icd.who.int/browse10/2019/en#/E63.9
E64.9,Sequelae of unspecified nutritional deficiency,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E50-E64/E64-/E64.9
E65,Localized adiposity,https://www.tabletwise.net/health/localized-adiposity
E66,Obesity,https://www.clinicbarcelona.org/en/assistance/diseases/obesity/symptoms
E66.0,Obesity due to excess calories,https://www.mayoclinic.org/diseases-conditions/obesity/symptoms-causes/syc-20375742
E66.1,Drug-induced obesity,https://pubmed.ncbi.nlm.nih.gov/16234878/
E66.2,Extreme obesity with alveolar hypoventilation,https://medlineplus.gov/ency/article/000085.htm
E66.8,Other obesity,https://www.clinicbarcelona.org/en/assistance/diseases/obesity/symptoms
E66.9,"Obesity, unspecified",https://www.medicalnewstoday.com/articles/320460
E67,Other hyperalimentation,https://www.sciencedirect.com/topics/medicine-and-dentistry/hyperalimentation
E67.0,Hypervitaminosis A,https://www.healthline.com/health/hypervitaminosis-a
E67.1,Hypercarotenaemia,https://www.sciencedirect.com/science/article/pii/S2405457717303662
E67.2,Megavitamin-B 6 syndrome,https://en.wikipedia.org/wiki/Megavitamin-B6_syndrome
E67.3,Hypervitaminosis D,https://www.medicalnewstoday.com/articles/318415
E67.8,Other specified hyperalimentation,https://www.sciencedirect.com/topics/medicine-and-dentistry/hyperalimentation
E68,Sequelae of hyperalimentation,https://www.sciencedirect.com/topics/medicine-and-dentistry/hyperalimentation
E70,Disorders of aromatic amino-acid metabolism,https://www.britannica.com/science/metabolic-disease/Disorders-of-amino-acid-metabolism
E70.0,Classical phenylketonuria,https://www.mayoclinic.org/diseases-conditions/phenylketonuria/symptoms-causes/syc-20376302
E70.1,Other hyperphenylalaninaemias,https://rarediseases.info.nih.gov/diseases/3413/maternal-hyperphenylalaninemia
E70.2,Disorders of tyrosine metabolism,https://rarediseases.org/rare-diseases/tyrosine-hydroxylase-deficiency/
E70.3,Albinism,https://www.mayoclinic.org/es-es/diseases-conditions/albinism/symptoms-causes/syc-20369184
E70.8,Other disorders of aromatic amino-acid metabolism,https://www.britannica.com/science/metabolic-disease/Disorders-of-amino-acid-metabolism
E70.9,"Disorder of aromatic amino-acid metabolism, unspecified",https://medlineplus.gov/aminoacidmetabolismdisorders.html
E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,https://www.cancertherapyadvisor.com/home/decision-support-in-medicine/pediatrics/disorders-of-branched-chain-amino-acid-metabolism/
E71.0,Maple-syrup-urine disease,https://my.clevelandclinic.org/health/diseases/21168-maple-syrup-urine-disease
E71.1,Other disorders of branched-chain amino-acid metabolism,https://www.cancertherapyadvisor.com/home/decision-support-in-medicine/pediatrics/disorders-of-branched-chain-amino-acid-metabolism/
E71.2,"Disorder of branched-chain amino-acid metabolism, unspecified",https://www.cancertherapyadvisor.com/home/decision-support-in-medicine/pediatrics/disorders-of-branched-chain-amino-acid-metabolism/
E71.3,Disorders of fatty-acid metabolism,https://www.medicalhomeportal.org/living-with-child/diagnoses-and-conditions---faqs/fatty-acid-oxidation-disorders
E72,Other disorders of amino-acid metabolism,https://www.marchofdimes.org/baby/amino-acid-metabolism-disorders.aspx
E72.0,Disorders of amino-acid transport,https://www.britannica.com/science/metabolic-disease/Disorders-of-amino-acid-metabolism
E72.1,Disorders of sulfur-bearing amino-acid metabolism,https://medlineplus.gov/aminoacidmetabolismdisorders.html
E72.2,Disorders of urea cycle metabolism,https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/urea-cycle-disorder
E72.3,Disorders of lysine and hydroxylysine metabolism,https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=289832
E72.4,Disorders of ornithine metabolism,https://rarediseases.org/rare-diseases/ornithine-transcarbamylase-deficiency/
E72.5,Disorders of glycine metabolism,https://rarediseases.info.nih.gov/diseases/7219/glycine-encephalopathy
E72.8,Other specified disorders of amino-acid metabolism,https://www.marchofdimes.org/baby/amino-acid-metabolism-disorders.aspx
E72.9,"Disorder of amino-acid metabolism, unspecified",https://medlineplus.gov/aminoacidmetabolismdisorders.html
E73,Lactose intolerance,https://www.hopkinsmedicine.org/health/conditions-and-diseases/lactose-intolerance
E73.0,Congenital lactase deficiency,https://bmcgastroenterol.biomedcentral.com/articles/10.1186/s12876-015-0261-y
E73.1,Secondary lactase deficiency,https://www.sciencedirect.com/topics/medicine-and-dentistry/lactase-deficiency
E73.8,Other lactose intolerance,https://www.nhs.uk/conditions/lactose-intolerance/
E73.9,"Lactose intolerance, unspecified",https://www.mayoclinic.org/diseases-conditions/lactose-intolerance/symptoms-causes/syc-20374232
E74,Other disorders of carbohydrate metabolism,https://www.britannica.com/science/metabolic-disease/Disorders-of-carbohydrate-metabolism
E74.0,Glycogen storage disease,https://www.hopkinsmedicine.org/health/conditions-and-diseases/glycogen-storage-disease
E74.1,Disorders of fructose metabolism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5409695/
E74.2,Disorders of galactose metabolism,https://rarediseases.org/rare-diseases/galactosemia/
E74.3,Other disorders of intestinal carbohydrate absorption,https://www.nicklauschildrens.org/conditions/carbohydrate-malabsorption
E74.4,Disorders of pyruvate metabolism and gluconeogenesis,https://www.msdmanuals.com/home/children-s-health-issues/hereditary-metabolic-disorders/pyruvate-metabolism-disorders
E74.8,Other specified disorders of carbohydrate metabolism,https://www.britannica.com/science/metabolic-disease/Disorders-of-carbohydrate-metabolism
E74.9,"Disorder of carbohydrate metabolism, unspecified",https://www.britannica.com/science/metabolic-disease/Disorders-of-carbohydrate-metabolism
E75,Disorders of sphingolipid metabolism and other lipid storage disorders,https://www.ninds.nih.gov/Disorders/Patient-Caregiver-Education/Fact-Sheets/Lipid-Storage-Fact-Sheet
