,codigo,sintomas
0,A00,"Large amounts of watery diarrhea, vomiting, muscle cramps[2][3]"
1,A00.0,Sintomas no encontrados
2,A00.1,Sintomas no encontrados
3,A00.9,Sintomas no encontrados
4,A01,Sintomas no encontrados
5,A01.0,"Fever that starts low and increases daily, possibly reaching as high as 104.9 °F (40.5 °C)
Headache, Weakness and fatigue, Muscle aches, Sweating, Dry cough, Loss of appetite and weight loss, Stomach pain, Diarrhea or constipation, Rash, Swollen stomach (enlarged liver or spleen)"
6,A01.1,Sintomas no encontrados
7,A01.2,Sintomas no encontrados
8,A01.3,Sintomas no encontrados
9,A01.4,Sintomas no encontrados
10,A02,Sintomas no encontrados
11,A02.0,"Diarrhea, fever, abdominal cramps, vomiting[1]"
12,A02.1,Sintomas no encontrados
13,A02.2,Sintomas no encontrados
14,A02.8,Sintomas no encontrados
15,A02.9,Sintomas no encontrados
16,A03,"Diarrhea, fever, abdominal pain[1]"
17,A03.0,Sintomas no encontrados
18,A03.1,Sintomas no encontrados
19,A03.2,Sintomas no encontrados
20,A03.3,Sintomas no encontrados
21,A03.8,Sintomas no encontrados
22,A03.9,Sintomas no encontrados
23,A04,Sintomas no encontrados
24,A04.0,Sintomas no encontrados
25,A04.1,Sintomas no encontrados
26,A04.2,Sintomas no encontrados
27,A04.3,Sintomas no encontrados
28,A04.4,Sintomas no encontrados
29,A04.5,"Diarrhea, abdominal pain, fever"
30,A04.6,Sintomas no encontrados
31,A04.7,"Diarrhea, fever, nausea, abdominal pain[1]"
32,A04.8,Sintomas no encontrados
33,A04.9,Sintomas no encontrados
34,A05,Sintomas no encontrados
35,A05.0,Sintomas no encontrados
36,A05.1,"Weakness, trouble seeing, feeling tired, trouble speaking"
37,A05.2,Sintomas no encontrados
38,A05.3,Sintomas no encontrados
39,A05.4,Sintomas no encontrados
40,A05.8,Sintomas no encontrados
41,A05.9,Sintomas no encontrados
42,A06,"Bloody diarrhea, abdominal pain[3]"
43,A06.0,"Bloody diarrhea, abdominal pain[3]"
44,A06.1,Sintomas no encontrados
45,A06.2,Sintomas no encontrados
46,A06.3,Sintomas no encontrados
47,A06.4,Sintomas no encontrados
48,A06.5,Sintomas no encontrados
49,A06.6,Sintomas no encontrados
50,A06.7,Sintomas no encontrados
51,A06.8,Sintomas no encontrados
52,A06.9,Sintomas no encontrados
53,A07,Sintomas no encontrados
54,A07.0,Sintomas no encontrados
55,A07.1,Sintomas no encontrados
56,A07.2,"Watery diarrhea, nausea, abdominal pain, fever"
57,A07.3,Sudden onset watery acute non-bloody diarrhea
58,A07.8,Sintomas no encontrados
