,codigo,sintomas
0,A00,"Large amounts of watery diarrhea, vomiting, muscle cramps[2][3]"
5,A01.0,"Fever that starts low and increases daily, possibly reaching as high as 104.9 °F (40.5 °C)
Headache, Weakness and fatigue, Muscle aches, Sweating, Dry cough, Loss of appetite and weight loss, Stomach pain, Diarrhea or constipation, Rash, Swollen stomach (enlarged liver or spleen)"
11,A02.0,"Diarrhea, fever, abdominal cramps, vomiting[1]"
16,A03,"Diarrhea, fever, abdominal pain[1]"
29,A04.5,"Diarrhea, abdominal pain, fever"
31,A04.7,"Diarrhea, fever, nausea, abdominal pain[1]"
36,A05.1,"Weakness, trouble seeing, feeling tired, trouble speaking"
42,A06,"Bloody diarrhea, abdominal pain[3]"
43,A06.0,"Bloody diarrhea, abdominal pain[3]"
56,A07.2,"Watery diarrhea, nausea, abdominal pain, fever"
57,A07.3,Sudden onset watery acute non-bloody diarrhea
92,A17.0,Fever[1]
113,A20.0,"Fever, headaches, vomiting, swollen lymph nodes[1][2]"
115,A20.2,"Fever, headache, shortness of breath, cough[1]"
120,A21,"Fever, skin ulcer, large lymph nodes[3]"
128,A22,"Skin form: small blister with surrounding swellingInhalational form: fever, chest pain, shortness of breathIntestinal form: nausea, vomiting, diarrhea, abdominal painInjection form: fever, abscess[1]"
129,A22.0,"Skin form: small blister with surrounding swellingInhalational form: fever, chest pain, shortness of breathIntestinal form: nausea, vomiting, diarrhea, abdominal painInjection form: fever, abscess[1]"
130,A22.1,"Skin form: small blister with surrounding swellingInhalational form: fever, chest pain, shortness of breathIntestinal form: nausea, vomiting, diarrhea, abdominal painInjection form: fever, abscess[1]"
131,A22.2,"Skin form: small blister with surrounding swellingInhalational form: fever, chest pain, shortness of breathIntestinal form: nausea, vomiting, diarrhea, abdominal painInjection form: fever, abscess[1]"
135,A23,coughing
157,A27,"None, headaches, muscle pains, fevers[5]"
158,A27.0,"None, headaches, muscle pains, fevers[5]"
163,A28.1,"Bump at the site of the bite or scratch, swollen and painful lymph nodes[2]"
168,A30.0,Decreased ability to feel pain[3]
181,A32,"Diarrhea, fever, headache"
187,A33,"fever, cramped-up jaw, Muscle spasms, headache, seizures, sweating, and trouble swallowing[1]"
188,A34,"fever, cramped-up jaw, Muscle spasms, headache, seizures, sweating, and trouble swallowing[1]"
190,A36,"Sore throat, fever, barking cough[2]"
197,A37,"Runny nose, fever, cough[1]"
202,A38,"Sore throat, fever, headaches, swollen lymph nodes, characteristic rash[1]"
204,A39.0,"Flu-like symptoms, stiff neck, altered mental status, seizures, purpura"
248,A48.1,"Cough, shortness of breath, fever, muscle pains, headaches[2]"
250,A48.3,"Fever, rash, skin peeling, low blood pressure[1]"
270,A51,"Firm, painless, non-itchy skin ulcer[1]"
278,A52,"Firm, painless, non-itchy skin ulcer[1]"
279,A52.0,"Firm, painless, non-itchy skin ulcer[1]"
280,A52.1,"Firm, painless, non-itchy skin ulcer[1]"
281,A52.2,"Firm, painless, non-itchy skin ulcer[1]"
289,A54,"None, burning with urination, vaginal discharge, discharge from the penis, pelvic pain, testicular pain[1]"
295,A54.5,"Sore throat, fever, runny nose, cough, headache, hoarse voice[1][2]"
309,A59,"Itching in the genital area, bad smelling thin vaginal discharge, burning with urination, pain with sex[1][2]"
310,A59.0,"Itching in the genital area, bad smelling thin vaginal discharge, burning with urination, pain with sex[1][2]"
322,A66,"Hard swelling of the skin, ulcer, joint and bone pain[6]"
326,A66.3,"Hard swelling of the skin, ulcer, joint and bone pain[6]"
328,A66.5,"Hard swelling of the skin, ulcer, joint and bone pain[6]"
