codigo,descripcion,url
N39.4,Other specified urinary incontinence,https://www.niddk.nih.gov/health-information/urologic-diseases/bladder-control-problems/symptoms-causes
N39.8,Other specified disorders of urinary system,https://bio.libretexts.org/Bookshelves/Human_Biology/Book%3A_Human_Biology_(Wakim_and_Grewal)/19%3A_Urinary_System/19.5%3A_Disorders_of_the_Urinary_System
N39.9,"Disorder of urinary system, unspecified",https://www.healthgrades.com/right-care/kidneys-and-the-urinary-system/urinary-disorders
N40,Hyperplasia of prostate,https://www.niddk.nih.gov/health-information/urologic-diseases/prostate-problems/prostate-enlargement-benign-prostatic-hyperplasia
N41,Inflammatory diseases of prostate,https://www.niddk.nih.gov/health-information/urologic-diseases/prostate-problems/prostatitis-inflammation-prostate
N41.0,Acute prostatitis,https://www.niddk.nih.gov/health-information/urologic-diseases/prostate-problems/prostatitis-inflammation-prostate
N41.1,Chronic prostatitis,https://www.niddk.nih.gov/health-information/urologic-diseases/prostate-problems/prostatitis-inflammation-prostate
N41.2,Abscess of prostate,https://www.msdmanuals.com/home/men-s-health-issues/benign-prostate-disorders/prostate-abscess
N41.3,Prostatocystitis,https://www.mayoclinic.org/diseases-conditions/prostatitis/symptoms-causes/syc-20355766
N41.8,Other inflammatory diseases of prostate,https://www.mayoclinic.org/diseases-conditions/prostatitis/symptoms-causes/syc-20355766
N41.9,"Inflammatory disease of prostate, unspecified",https://www.mayoclinic.org/diseases-conditions/prostatitis/symptoms-causes/syc-20355766
N42,Other disorders of prostate,https://www.nia.nih.gov/health/prostate-problems
N42.0,Calculus of prostate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5756803/
N42.1,Congestion and haemorrhage of prostate,https://www.mayoclinic.org/diseases-conditions/prostatitis/symptoms-causes/syc-20355766
N42.2,Atrophy of prostate,https://pubmed.ncbi.nlm.nih.gov/20815946/
N42.3,Dysplasia of prostate,https://www.mayoclinic.org/diseases-conditions/benign-prostatic-hyperplasia/symptoms-causes/syc-20370087
N42.8,Other specified disorders of prostate,https://www.nia.nih.gov/health/prostate-problems
N42.9,"Disorder of prostate, unspecified",https://www.mayoclinic.org/diseases-conditions/prostatitis/symptoms-causes/syc-20355766
N43,Hydrocele and spermatocele,https://www.healthline.com/health/mens-health/spermatocele
N43.0,Encysted hydrocele,https://www.cedars-sinai.org/health-library/diseases-and-conditions---pediatrics/h/hydrocele-in-children.html
N43.1,Infected hydrocele,https://www.mayoclinic.org/diseases-conditions/hydrocele/symptoms-causes/syc-20363969
N43.2,Other hydrocele,https://www.healthline.com/health/hydrocele
N43.3,"Hydrocele, unspecified",https://www.mayoclinic.org/diseases-conditions/hydrocele/symptoms-causes/syc-20363969
N43.4,Spermatocele,https://www.healthline.com/health/mens-health/spermatocele
N44,Torsion of testis,https://kidshealth.org/en/teens/torsion.html
N45,Orchitis and epididymitis,https://www.mayoclinic.org/diseases-conditions/epididymitis/symptoms-causes/syc-20363853
N45.0,"Orchitis, epididymitis and epididymo-orchitis with abscess",https://www.msdmanuals.com/home/men-s-health-issues/penile-and-testicular-disorders/epididymitis-and-epididymo-orchitis
N45.9,"Orchitis, epididymitis and epididymo-orchitis without abscess",https://patient.info/mens-health/scrotal-lumps-pain-and-swelling/epididymo-orchitis
N46,Male infertility,https://www.mayoclinic.org/es-es/diseases-conditions/male-infertility/symptoms-causes/syc-20374773
N47,"Redundant prepuce, phimosis and paraphimosis",https://www.urmc.rochester.edu/encyclopedia/content.aspx?ContentTypeID=90&ContentID=P03104
N48,Other disorders of penis,https://www.healthline.com/health/penis-diseases
N48.0,Leukoplakia of penis,https://cancer.ca/en/cancer-information/cancer-types/penile/what-is-penile-cancer/precancerous-conditions
N48.1,Balanoposthitis,https://my.clevelandclinic.org/health/diseases/21186-balanitis
N48.2,Other inflammatory disorders of penis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5439293/
N48.3,Priapism,https://my.clevelandclinic.org/health/diseases/10042-priapism
N48.4,Impotence of organic origin,https://www.ncbi.nlm.nih.gov/books/NBK297/
N48.5,Ulcer of penis,https://www.healthline.com/health/health-penis-sores
N48.6,Induratio penis plastica,https://www.ncbi.nlm.nih.gov/medgen/10629
N48.8,Other specified disorders of penis,https://www.icd10data.com/ICD10CM/Codes/N00-N99/N40-N53/N48-/N48.89
N48.9,"Disorder of penis, unspecified",https://medlineplus.gov/penisdisorders.html
N49,"Inflammatory disorders of male genital organs, not elsewhere classified",https://icd.who.int/browse10/2019/en#/N49.8
N49.0,Inflammatory disorders of seminal vesicle,https://www.healthline.com/human-body-maps/seminal-vesicles
N49.1,"Inflammatory disorders of spermatic cord, tunica vaginalis and vas deferens",https://www.unboundmedicine.com/icd/view/ICD-10-CM/897010/all/N49_1___Inflammatory_disorders_of_spermatic_cord__tunica_vaginalis_and_vas_deferens
N49.2,Inflammatory disorders of scrotum,https://www.mayoclinic.org/diseases-conditions/epididymitis/symptoms-causes/syc-20363853
N49.8,Inflammatory disorders of other specified male genital organs,https://icd.who.int/browse10/2019/en#/N49.8
N49.9,Inflammatory disorder of unspecified male genital organ,https://www.icd10data.com/ICD10CM/Codes/N00-N99/N40-N53/N49-/N49.9
N50,Other disorders of male genital organs,https://www.theurologyfoundation.org/urologyhealth/male-reproductive-organs
N50.0,Atrophy of testis,https://www.healthline.com/health/testicular-atrophy
N50.1,Vascular disorders of male genital organs,http://www.malacards.org/card/male_genital_organ_vascular_disease
N50.8,Other specified disorders of male genital organs,https://www.icd10data.com/ICD10CM/Codes/N00-N99/N40-N53/N50-/N50.8
N50.9,"Disorder of male genital organs, unspecified",https://www.icd10data.com/ICD10CM/Codes/N00-N99/N40-N53/N50-/N50.9
N51,Disorders of male genital organs in diseases classified elsewhere,https://icd.who.int/browse10/2016/en#/N51.1
N51.0,Disorders of prostate in diseases classified elsewhere,https://icd.who.int/browse10/2010/en#/N40-N51
N51.1,Disorders of testis and epididymis in diseases classified elsewhere,https://icd.who.int/browse10/2019/en#/N49.8
N51.2,Balanitis in diseases classified elsewhere,https://www.icd10data.com/ICD10CM/Codes/N00-N99/N40-N53/N48-/N48.1
N51.8,Other disorders of male genital organs in diseases classified elsewhere,https://icd.who.int/browse10/2016/en#/N51.1
N60,Benign mammary dysplasia,https://www.cancer.gov/publications/dictionaries/cancer-terms/def/mammary-dysplasia
N60.0,Solitary cyst of breast,https://www.mayoclinic.org/diseases-conditions/breast-cysts/symptoms-causes/syc-20370284
N60.1,Diffuse cystic mastopathy,https://www.mountsinai.org/health-library/diseases-conditions/fibrocystic-breast-disease
N60.2,Fibroadenosis of breast,https://www.mayoclinic.org/diseases-conditions/fibrocystic-breasts/symptoms-causes/syc-20350438
N60.3,Fibrosclerosis of breast,https://www.mayoclinic.org/diseases-conditions/fibrocystic-breasts/symptoms-causes/syc-20350438
N60.4,Mammary duct ectasia,https://my.clevelandclinic.org/health/diseases/17949-mammary-duct-ectasia
N60.8,Other benign mammary dysplasias,https://www.cancer.gov/publications/dictionaries/cancer-terms/def/mammary-dysplasia
N60.9,"Benign mammary dysplasia, unspecified",https://www.cancer.gov/publications/dictionaries/cancer-terms/def/mammary-dysplasia
N61,Inflammatory disorders of breast,https://www.cancer.org/cancer/breast-cancer/about/types-of-breast-cancer/inflammatory-breast-cancer.html
N62,Hypertrophy of breast,https://www.healthline.com/health/gigantomastia
N63,Unspecified lump in breast,https://www.mayoclinic.org/diseases-conditions/suspicious-breast-lumps/symptoms-causes/syc-20352786
N64,Other disorders of breast,https://www.childrenshospital.org/conditions-and-treatments/conditions/b/breast-disorders
N64.0,Fissure and fistula of nipple,https://www.healthline.com/health/nipple-fissure
N64.1,Fat necrosis of breast,https://breastcancernow.org/information-support/have-i-got-breast-cancer/breast-lumps-other-benign-conditions/fat-necrosis
